epoch,val_acc
1,0.9083333333333333
2,0.86
3,0.9416666666666667
4,0.9333333333333333
5,0.9433333333333334
6,0.9333333333333333
7,0.9516666666666667
8,0.9133333333333333
9,0.9466666666666667
10,0.935
11,0.915
12,0.9616666666666667
13,0.9116666666666666
14,0.955
15,0.9383333333333334
16,0.9566666666666667
17,0.9433333333333334
18,0.9583333333333334
19,0.9566666666666667
20,0.9016666666666666
21,0.9333333333333333
22,0.9566666666666667
23,0.955
24,0.9466666666666667
25,0.9666666666666667
26,0.96
27,0.9616666666666667
28,0.9566666666666667
29,0.96
30,0.9466666666666667
31,0.95
32,0.9583333333333334
33,0.9516666666666667
34,0.9516666666666667
35,0.9533333333333334
36,0.9583333333333334
37,0.9483333333333334
38,0.9583333333333334
39,0.9466666666666667
40,0.945
41,0.955
42,0.945
43,0.9483333333333334
44,0.9516666666666667
45,0.9433333333333334
46,0.9566666666666667
47,0.9516666666666667
48,0.9566666666666667
49,0.9516666666666667
50,0.9533333333333334
51,0.9516666666666667
52,0.9566666666666667
53,0.96
54,0.9516666666666667
55,0.955
56,0.955
57,0.955
58,0.9516666666666667
59,0.9583333333333334
60,0.9566666666666667
61,0.9533333333333334
62,0.9533333333333334
63,0.955
64,0.9516666666666667
65,0.955
66,0.9533333333333334
67,0.9533333333333334
68,0.9483333333333334
69,0.9483333333333334
70,0.9483333333333334
71,0.955
72,0.955
73,0.9533333333333334
74,0.9466666666666667
75,0.955
76,0.955
77,0.9516666666666667
78,0.9516666666666667
79,0.955
80,0.955
