epoch,train_loss,val_loss,val_acc
1,1.7103697297841134,1.6697384495484202,0.7433333333333333
2,1.169588982000859,1.1634999764593024,0.8133333333333334
3,1.081498926207864,1.1010466939524601,0.8166666666666667
4,1.0214173645662838,1.3867124444560002,0.8133333333333334
5,0.9651834770772584,1.3698321361290782,0.8133333333333334
6,0.9729880136851023,1.0516984776446694,0.8166666666666667
7,0.9336827566637795,1.1835618944544541,0.7766666666666666
8,0.9015689061943596,1.1107248067855835,0.8366666666666667
9,0.9038865324660871,0.9885963844625574,0.83
10,0.8702956893034941,1.176506469124242,0.8066666666666666
11,0.8802966630670446,0.8604198286407873,0.8633333333333333
12,0.8379848544766917,0.9053912743141777,0.8666666666666667
13,0.8074512527539179,0.9768338407340803,0.8266666666666667
14,0.8153607642509528,0.9707483100263696,0.8466666666666667
15,0.8524380957586526,0.8790842435861889,0.8633333333333333
16,0.8082646690529479,0.9039598248506847,0.89
17,0.7676144362201353,0.8796438559105522,0.8533333333333334
18,0.8119117815113632,0.8616550502024198,0.89
19,0.7533648049337625,0.7885090175427889,0.8833333333333333
20,0.7300600557637638,0.850160959519838,0.8833333333333333
21,0.7362863289181297,0.7691583037376404,0.8766666666666667
22,0.7470449546032404,0.7684833799537859,0.8866666666666667
23,0.7177062596266086,0.8114606079302336,0.8966666666666666
24,0.7237040594484679,0.7879151325476798,0.8866666666666667
25,0.7100420398472329,0.7777026483887121,0.8933333333333333
26,0.7143209664779302,0.7455482482910156,0.8866666666666667
27,0.6976314432169559,0.8014878081647974,0.8866666666666667
28,0.6774395104696059,0.8069157819998892,0.87
29,0.6807047102225603,0.9236615990337572,0.8666666666666667
30,0.6647657868424817,0.7394253956644159,0.8966666666666666
31,0.6796636836239572,0.7438905474386717,0.8766666666666667
32,0.6658666070396378,0.7649025744513461,0.8866666666666667
33,0.6918002270029847,0.7359903078330191,0.8933333333333333
34,0.6623611160107619,0.7846755934389014,0.8933333333333333
35,0.635578835063432,0.706799737716976,0.8966666666666666
36,0.6239547247188331,0.7904972810494272,0.88
37,0.6254564669181609,0.676879484402506,0.9033333333333333
38,0.6188215460826659,0.7942326413957697,0.8866666666666667
39,0.6117915118763433,0.7414801010960027,0.89
40,0.6179310331154152,0.7177099569847709,0.89
41,0.603335015960699,0.719516291430122,0.8966666666666666
42,0.5760587621370011,0.6896758283439436,0.9
43,0.5859595710885596,0.6682850749869096,0.9033333333333333
44,0.5780655713476373,0.6961365969557511,0.9
45,0.5897582317068732,0.7428670635348872,0.89
46,0.5667613325034373,0.6789864678131906,0.8966666666666666
47,0.5826446169755868,0.7011382250409377,0.8966666666666666
48,0.5705963437550167,0.7162195757815712,0.8933333333333333
49,0.5865385056247373,0.756694738802157,0.8833333333333333
50,0.5649858490073469,0.6959175632188195,0.9
